Date,Event_Type,Event
1990-08-02,Conflict,Gulf War begins after Iraq invades Kuwait
1997-07-02,Economic,Asian Financial Crisis impacts global oil demand
2001-09-11,Political,9/11 attacks cause global market uncertainty
2003-03-20,Conflict,Iraq War begins
2008-09-15,Economic,Global Financial Crisis intensifies after Lehman collapse
2011-02-15,Conflict,Arab Spring unrest affects oil supply
2014-11-27,OPEC,OPEC decides not to cut oil production
2016-01-16,OPEC,Iran sanctions lifted increasing oil supply
2018-05-08,Sanctions,US withdraws from Iran nuclear deal
2020-03-11,Pandemic,WHO declares COVID-19 pandemic
2020-04-12,OPEC,OPEC+ agrees historic production cuts
2021-10-01,Supply,Global energy supply crunch
2022-02-24,Conflict,Russia invades Ukraine
2022-03-08,Sanctions,US bans Russian oil imports
2022-09-05,OPEC,OPEC+ announces production cuts
